Season,Team,Score,Country,Flag
1995–96,Legia Warsaw,1,Poland,23px-Flag_of_Poland.svg.png
1995–96,Real Madrid,1,Spain,23px-Flag_of_Spain.svg.png
1995–96,Spartak Moscow,1,Russia,23px-Flag_of_Russia.svg.png
1996–97,Borussia Dortmund,4,Germany,23px-Flag_of_Germany.svg.png
1996–97,Juventus,3,Italy,23px-Flag_of_Italy.svg.png
1996–97,Manchester United,2,England,23px-Flag_of_England.svg.png
1996–97,Ajax,2,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1996–97,Auxerre,1,France,23px-Flag_of_France.svg.png
1996–97,Porto,1,Portugal,23px-Flag_of_Portugal.svg.png
1996–97,Atlético Madrid,1,Spain,23px-Flag_of_Spain.svg.png
1996–97,Rosenborg,1,Norway,21px-Flag_of_Norway.svg.png
1997–98,Juventus,3,Italy,23px-Flag_of_Italy.svg.png
1997–98,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
1997–98,Borussia Dortmund,2,Germany,23px-Flag_of_Germany.svg.png
1997–98,Monaco,2,France,23px-Flag_of_France.svg.png
